Operating Day,Settlement Area,Day-Ahead Make Whole Payment Amount,Reliability Unit Commitment Make Whole Payment Amount,Real-Time Out-of-Merit Amount,Real-Time Regulation Service Deployment Adjustment Amount,Real-Time Reserve Sharing Group Amount,Regulation-Up Mileage Make Whole Payment Amount,Regulation-Down Mileage Make Whole Payment Amount,Total Uplift Payments
02/27/2025,MPS,-31156.63,-63240.10,0.00,5795.91,,-15.33,0.00,-88616.15
02/27/2025,NPPD,0.00,-8774.02,-4102.51,-1081.99,,-0.04,-95.77,-14054.33
02/27/2025,OKGE,-20612.55,-74955.04,-18081.93,-2369.72,,-204.92,-135.45,-116359.61
02/27/2025,OPPD,0.00,-18397.00,-9626.30,223.58,,0.00,0.00,-27799.72
02/27/2025,SECI,-73.62,-32436.68,-69.62,485.77,,0.00,-3.84,-32097.99
02/27/2025,SPRM,,-12493.98,-16.31,1116.07,,-1.08,-6.38,-11401.68
02/27/2025,SPS,-41434.79,-12549.52,-33837.37,-11681.25,,-122.26,-163.73,-99788.92
02/27/2025,WAUE,-110952.11,-21850.55,-454.34,8358.44,,-15.97,-26.72,-124941.25
02/27/2025,WFEC,-5847.06,-26366.28,-87589.34,1725.05,,-20.69,-95.63,-118193.95
02/27/2025,WR,-5365.51,-78413.68,-2151.65,1200.82,,-11.57,-18.00,-84759.59
02/28/2025,CSWS,-130814.55,0.00,-116.93,847.79,,-158.44,-52.45,-130294.58
02/28/2025,EDE,-5880.54,0.00,0.00,-38.22,,-1.53,-93.80,-6014.09
02/28/2025,GRDA,0.00,0.00,0.00,-642.49,,-4.72,-13.75,-660.96
02/28/2025,INDN,-849.78,,0.00,-142.89,,0.00,,-992.67
02/28/2025,KACY,0.00,0.00,0.00,-326.35,,-32.59,0.00,-358.94
02/28/2025,KCPL,-179818.29,,0.00,108.21,,0.00,-9.69,-179719.77
02/28/2025,LES,,,0.00,,,,,0.00
02/28/2025,MIDW,0.00,0.00,0.00,-38.07,,0.00,-14.38,-52.45
02/28/2025,MPS,-18662.82,,0.00,-43.24,,-8.35,,-18714.41
02/28/2025,NPPD,0.00,0.00,0.00,-236.54,,-1.02,-16.83,-254.39
02/28/2025,OKGE,-130533.84,0.00,-163.29,-999.40,,-0.42,-142.77,-131839.72
02/28/2025,OPPD,0.00,,0.00,-308.87,,0.00,0.00,-308.87
02/28/2025,SECI,0.00,,0.00,-670.18,,-4.45,-1.11,-675.74
02/28/2025,SPRM,,,0.00,88.82,,-5.32,-6.05,77.45
02/28/2025,SPS,-702.40,-69114.93,-7850.51,-4420.26,,-66.22,-167.47,-82321.79
02/28/2025,WAUE,-265941.73,0.00,0.00,-617.78,,-36.32,-226.52,-266822.35
02/28/2025,WFEC,-4060.35,-20781.11,0.00,-1496.97,,-35.55,-22.90,-26396.88
02/28/2025,WR,-27170.34,0.00,0.00,-513.02,,-56.19,-14.83,-27754.38
